牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
SGD 4,JIS G 3108-2004 轧制碳素钢冷加工棒材,碳钢,,,,,,,,,,,,,,
T13,YB /T 5058-2005 弹簧钢、工具钢冷轧钢带,碳钢,,,,,,,,,,,,,,
SWRCH15K,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,镇静钢,,,,锻压性,,,,,,,,,
Y08,GB /T 8731-2008 易切削结构钢,碳钢,含硫非合金易切削钢,本标准适用于机械切削加工用条钢、盘条、钢丝、钢板及钢带等钢材，其化学成分同样适用于锭、坯及其制品,,,易切削性,U71082,,,,,,,,
08кп,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素结构钢  沸腾钢,相当于我国的08F钢,,,焊接性  渗碳性,,,,,,,,,
T9A,GB /T 4358-1995 重要用途碳素弹簧钢丝,碳钢,,①范围 —本标准规定了重要用途碳素弹簧钢丝的分类、尺寸、外形、技术要求、试验方法、检验规则、包装、标志及质量证明书等。 —本标准适用于制造具有高应力、阀门弹簧等重要用途的不经热处理或仅经低温回火的弹簧。 ②分类、代号： —按用途钢丝分为三组：E组、F组、G组 ③尺寸、外形和重量： —尺寸：钢丝直径范围：E组、F组: 0.08~6mm; G组: 1~6mm —钢丝直径应符合GB 342表1规定。 —钢丝直径的允许偏差应符合GB 342表3的规定。 ④力学性能：钢丝的抗拉强度应符合本标准表3的规定,,,,T01083,,,,,,,,
11SMn30,EN 10277-3-1999 光亮钢产品技术交货条件 第3部分 高速切削钢,碳钢,非热处理钢,,,,易切削性,,,1.0715,,,,,,
A1010,AS /NZS 3678-2016 热轧结构钢板、波纹板和厚板,碳钢,,,,,,,,,,,,,,
E4318,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
Q235B,GB /T 700-2006 碳素结构钢,碳钢,镇静钢  质量等级B  碳素结构钢,良好的塑性、韧性和焊接性能、冷冲压性能，以及一定的强度、好的冷弯性能，适合钢结构及钢筋混凝土结构钢要求 用户举例： 广泛用于制造薄板、钢筋、钢结构用各种型钢、建筑结构、桥梁、机座、机械零件、渗碳或碳氮共渗零件、焊接件、支架、受力不大的拉杆、连杆、销、轴、螺钉、螺母、套圈等。 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,易切削性  焊接性  渗碳性,U12355,,,,C3,Q235BZ,,,
D,GB 712-2011 船舶及海洋工程用结构钢,碳钢,,,,,,U51218,,,,,,,,
S355J2,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0577,,7.85 g/cm3,,,,,
SWRH62A,JIS G 3506-2017 高碳钢线材,碳钢,,用于制造高碳钢丝、油回火钢丝、预应力混凝土用高碳钢丝、镀锌钢丝绳、钢缆等的线材。同时，钢琴线材也包括在其中,,,,,,,,,,,,
A686 Type W1-9 Grade C,ASTM A 686-1992(R2004) 碳素工具钢,碳钢,,,T72301,,,,,,,,,,,
S50C,JIS G 4051-2005 机械结构用碳素钢,碳钢,,本标准对由热轧、热锻等热加工制成，通常用于锻造、切削加工及实施热处理的机械用碳素结构钢做了规定。不适用于管材,,,,,,,,,,,,
B-MnB120H,Q/BQB 517-2018 冷镦钢盘条,碳钢,硼钢,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
38SMn28,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
Ст5Гпс,GOST 380-2005 普通碳素钢牌号,碳钢,,,,,,,,,,,,,,
SWRCH12A,Q/BQB 517-2018 冷镦钢盘条,碳钢,铝镇静钢,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
P235TR2,EN 10216-1-2004 承压用无缝钢管-交货技术条件 第1部分：规定室温特性的非合金钢管,碳钢,,,,,,,,1.0255,,,,,,
1070,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10700,,,,,,,,,,,
St37-2,DIN 17100-1980 普通结构钢质量标准,碳钢,,① 适用范围： 本标准适用于型钢(宽缘工字钢)、 条钢、 线材、 扁钢〈 带钢、 板材、 宽扁钢〉 、 无缝空心型材与可焊正方形和长方形空心型材、 表一至表三中列出的用于热轧或常化状 态交货的普通结构钢的预锻件和板坯。 ② 按照本标准制造的钢材适用于焊接、 铆合与螺栓连接的建筑构件。 ③ 本标准内所列各种钢材的比重采用7.85kg/m3,,,,,1.0037,,,,,,,
DC07,GB /T 5213-2019 冷轧低碳钢板及钢带,碳钢,,①本标准规定了冷轧低碳钢板及钢带的术语和定义，分类和牌号表示方法，订货内容，尺寸、外形、重量，技术要求，试验方法，检验规则，包装、标志及质量证明书。 ②本标准适用于冷成形用厚度不大于3.5mm的冷轧低碳钢板及钢带。 ③尺寸、外形、重量及允许偏差应符合GB/T 708的规定 ④交货状态： —钢板及钢带以退火后平整状态交货 —钢板及钢带通常涂油供货，所涂油膜应能用碱水溶液或通常的溶液去除，在通常的包装、运输、装卸和储存条件下，供方应保证自制造完成之日起6个月内，钢板及钢带不生锈。如需方要求不涂油供货，应在订货时协商。,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10690,1069,锻压性,,,,,,,,,
1045H,ASTM A304-2016 须符合淬火淬透性要求的碳钢与合金钢棒材规范,碳钢,,,H10450,,,,,,,,,,,
SWCH 40K,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
C25,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,直接淬火钢  优质非合金结构钢,,,,,,,,,,,,,
,SAE J 1268-2010 碳素和合金工字钢用保证淬透性钢带,碳钢,,,H15301,,,,,,,,,,15B30H,
E5028-NCC,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
5,ISO 5000-2011 工业级和拉伸级连续热浸镀铝硅冷还原碳钢板,碳钢,,,,,,,,,,,,,,
A325 Type 1 Carbon Boron Steel,ASTM A325M-2014 经热处理的钢结构螺栓，最小抗拉强度830MPa,碳钢,,,,,,,,,,,,,,
PH 29,ISO 9329-2-1997 具有规定高温性能的非合金钢和合金钢,碳钢,,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10050,1005,锻压性,,,,,,,,,
SWRCH12K,JIS G 3507-1-2005 冷打或冷镦用碳钢线材,碳钢,镇静钢,Cr含量不应该超过0.20%，此外，作为残留的元素Cu和Ni分别不应该超过0.30%和0.20%,,,,,,,,,,,,
L290R/X42R,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,S290,,,,
50Mn,GB /T 699-1999 优质碳素结构钢,碳钢,优质碳素结构钢,性能与50号相近，但其淬透性较高，热处理后强度、硬度、弹性均稍高于50号钢。焊接性差，具有过热敏感性和回火脆性倾向。 用作在高载荷工作下的零件、高耐磨零件，如齿轮、齿轮轴、摩擦盘、心轴、平板弹簧等。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,强度  硬度  弹性,U21502,,,,,,,,
40,GB /T 699-2015 优质碳素结构钢,碳钢,,强度较高，可加工性良好，冷变形能力中等，焊接性差，淬透性低，无回火脆性，易生水淬裂纹，多在调质或正火态使用，表面淬火后可用于制造承受较大应力件。 适于制造机器的运动零件，如辊子、曲轴、心轴、传动轴、活塞杆、连杆、链轮、齿轮等，作焊接件时需先预热，焊后缓冷。 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,易切削性,U20402,,,,,,,,
10B18,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10181,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10290,1029,锻压性,,,,,,,,,
E5515-N1,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10250,1025,,,,,,,,,,
S460K2,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0581,7.85 g/cm3,,,,,
Cr06,YB /T 5058-2005 弹簧钢、工具钢冷轧钢带,碳钢,,,,,,,,,,,,,,
SUM23,JIS G 4804-2008 易切削钢钢材,碳钢,,,,,,,,,,,,,,
10кп,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素结构钢  沸腾钢,相当于我国的10F钢,,,焊接性  渗碳性,,,,,,,,,
T8MnA,GB /T 4358-1995 重要用途碳素弹簧钢丝,碳钢,,①范围 —本标准规定了重要用途碳素弹簧钢丝的分类、尺寸、外形、技术要求、试验方法、检验规则、包装、标志及质量证明书等。 —本标准适用于制造具有高应力、阀门弹簧等重要用途的不经热处理或仅经低温回火的弹簧。 ②分类、代号： —按用途钢丝分为三组：E组、F组、G组 ③尺寸、外形和重量： —尺寸：钢丝直径范围：E组、F组: 0.08~6mm; G组: 1~6mm —钢丝直径应符合GB 342表1规定。 —钢丝直径的允许偏差应符合GB 342表3的规定。 ④力学性能：钢丝的抗拉强度应符合本标准表3的规定,,,,T00093,,,,,,,,
11SMnPb30,EN 10277-3-1999 光亮钢产品技术交货条件 第3部分 高速切削钢,碳钢,非热处理钢,,,,易切削性,,,1.0718,,,,,,
K1042,AS /NZS 3678-2016 热轧结构钢板、波纹板和厚板,碳钢,,,,,,,,,,,,,,
C35,DIN 17240-1976 耐热及高耐热螺栓螺母材料,碳钢,,—本标准适用于直径不超过250mm棒材和线材。这些材料通常用于按标准DIN 267第13部分规定的螺栓、螺钉、螺母和类似的螺纹成形件；交货技术条件；螺栓和螺母主要由在零度以下和高温下具有韧性的钢制成-温度超过300°C到最高使用温度下，机械性能表作为长期使用指导。如果材料性能足够承受工作应力，则可超过这些温度。规范在操作时间内，由于温度、机械载荷和环境介质而对材料产生的总载荷,,,,,1.0501,,,,,,,
E4319,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
E 235B,ISO 630-1995 结构钢——板料、宽扁钢、钢筋、型材,碳钢,工程用非合金钢,,,,,,,,,Fe 360B,,,,
S355K2,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0596,,7.85 g/cm3,,,,,
SWRH57A,JIS G 3506-2017 高碳钢线材,碳钢,,用于制造高碳钢丝、油回火钢丝、预应力混凝土用高碳钢丝、镀锌钢丝绳、钢缆等的线材。同时，钢琴线材也包括在其中,,,,,,,,,,,,
DX52D+Z,GB /T 2518-2019 连续热镀锌和锌合金镀层钢板及钢带,碳钢,低碳钢,镀层代号：纯锌镀层(Z)，锌铁合金镀层(ZF)，锌铝合金镀层(ZA)，铝锌合金镀层(AZ),,,,,,,,,DX52D+ZF  DX52D+ZA  DX52D+AZ,,,
A686 Type W1-9.5 Grade C,ASTM A 686-1992(R2004) 碳素工具钢,碳钢,,,T72301,,,,,,,,,,,
B-10B30,Q/BQB 517-2018 冷镦钢盘条,碳钢,硼钢,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
38SMnPb28,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
65,GB /T 699-1999 优质碳素结构钢,碳钢,镇静钢,经热处理或冷作硬化后具有较高强度与弹性。，焊接性不好，易形成裂纹，不宜焊接，可加工性差，冷变形塑性低，淬透性不好，一般采用油淬，大截面件采用水淬油冷，或正火处理。其特点是在相同组态下其疲劳强度可与合金弹簧钢相当。 65钢用于制造弹簧、弹簧圈、各种垫圈、离合器以及制造一般机械中的轴、轧 辊、偏心轴等。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,强度  硬度  弹性,U20652,,,,,,,,
SWRCH16A,Q/BQB 517-2018 冷镦钢盘条,碳钢,铝镇静钢,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
S380N,德标,碳钢,可焊细晶粒钢,,,,焊接性,,,,,,,,,
P265TR1,EN 10216-1-2004 承压用无缝钢管-交货技术条件 第1部分：规定室温特性的非合金钢管,碳钢,,,,,,,,1.0258,,,,,,
1074,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10740,,,,,,,,,,,
SWRCH35K,JIS G 3507-1-2005 冷打或冷镦用碳钢线材,碳钢,镇静钢  碳素结构钢,"Cr含量不应该超过0.20%，此外，作为残留的元素Cu和Ni分别不应该超过0.30%和0.20% 在常温下利用金属塑性加工成型，材料内部组织严密、产品机械性能好、加工材料损失少、生产效益高、能耗低、产品尺寸精度高、表面光滑度好，被广泛用于螺栓、螺帽、螺钉的制做,以及用于自行车、汽车、机械设备、电器、航空设备、照相机、建筑业等行业的零件制作。盘条一般不作力学检测。",,,,,,,,,35K,,,
RSt37-2,DIN 17100-1980 普通结构钢质量标准,碳钢,结构钢,当产品厚度t>30mm时，碳含量最大0.2% ① 适用范围： 本标准适用于型钢(宽缘工字钢)、 条钢、 线材、 扁钢〈 带钢、 板材、 宽扁钢〉 、 无缝空心型材与可焊正方形和长方形空心型材、 表一至表三中列出的用于热轧或常化状 态交货的普通结构钢的预锻件和板坯。 ② 按照本标准制造的钢材适用于焊接、 铆合与螺栓连接的建筑构件。 ③ 本标准内所列各种钢材的比重采用7.85kg/m3,,,,,1.0038,,,1.0114,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,可用于制造管状开槽弹簧销等标准件,G10700,1070,,,,,,,,,,
SWCH 43K,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
C25M2,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,直接淬火钢  优质非合金结构钢,,,,,,,,,,,,,
,SAE J 1268-2010 碳素和合金工字钢用保证淬透性钢带,碳钢,,,H15351,,,,,,,,,,15B35H,
PH 35,ISO 9329-2-1997 具有规定高温性能的非合金钢和合金钢,碳钢,,,,,,,,,,,,,,
20MnB4,DIN EN 10269-2014 规定高温和/或低温性能的紧固件用钢和镍合金,碳钢,调质型钢,是制造DIN 7964 - 1990 粗牙缩径杆（细杆）螺栓、螺钉的材料之一，此紧固件性能等级8.8（M16及以下规格） —本欧洲标准规定了非合金和合金(包括不锈钢)钢和镍合金制成的在高温和/或低温下具有指定性能的紧固件的半成品、棒材的要求。 —本标准的要求也适用于成品紧固件 —EN 10021中的一般交货技术条件也适用于按照本标准提供的产品。,,,,,1.5525,,7.85 g/cm3,,,,,
P235GH,EN 10028-2-2017 压力容器用钢扁平产品――第2部分： 规定高温性能的非合金和合金钢,碳钢,,,,,,,,1.0345,,,,,,
A706 Grade 80,ASTM A706/A706M-2016 钢筋混凝土配筋用低合金变形钢筋和光面钢筋,碳钢,,注：碳当量CEV为0.55,,,,,,,,,G80,,,
CC4A,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,非热处理型冷镦钢  铝镇静钢,,,,锻压性,,,,,A1Al,,,,
L245N/BN,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,S245,,,,
XC10,NF A 35-551-1986 渗碳处理的碳素结构钢和特殊合金结构钢钢号 半成品、棒材和线,碳钢,,,,,渗碳性,,,,,,,,,
17B2,EN 10263-4-2001 冷加工和冷挤压的钢棒、棒材和线材 第4部分 淬火和回火钢交货的一般技术条件,碳钢,调质钢  硼钢,,,,,,,1.5502,,,,,,
45,GB /T 699-2015 优质碳素结构钢,碳钢,,ⓐ特性和应用 常用中碳调质结构钢。该钢冷塑性一般，退火、正火比调质时要稍好，具有较高的强度和较好的切削加工性，经适当的热处理以后可获得一定的韧性、塑性和耐磨性，材料来源方便。适合于氢焊和氩弧焊，不太适合于气焊。焊前需预热，焊后应进行去应力退火。正火可改善硬度小于160HBS毛坯的切削性能。该钢经调质处理后，其综合力学性能要优化于其他中碳结构钢，但该钢淬透性较低，水中临界淬透直径为12~17mm，水淬时有开裂倾向。当直径大于80mm时，经调质或正火后，其力学性能相近，对中、小型模具零件进行调质处理后可获得较高的强度和韧性。可制作抽芯铆钉钉芯 ⓑ应用举例：可作为制造 DIN 6883 - 1956 楔键的材料之一 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,强度  易切削性,U20452,,,,,45#,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10340,1034,锻压性,,,,,,,,,
5,AS 1442-2007 碳素钢和碳锰钢 - 热轧棒材和半成品,碳钢,碳锰钢,本标准规定了用于锻造和一般工程用途的在轧制或正火状态下交付的碳钢和碳锰钢棒材、棒材、坯料和板坯的要求。它规定了所有牌号的化学成分要求，以及满足机械性能要求的牌号的抗拉强度要求。该标准允许添加硼和微合金元素来实现特殊性能。,,,,,,,,,,,,
E5516-N1,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
35,GB /T 699-1999 优质碳素结构钢,碳钢,镇静钢,35号钢优质碳素结构钢有良好的塑性和适当的强度，冷塑性高，焊接性能尚可。冷态下可局部镦粗和拉丝。淬透性低，大多在正火状态和调质状态下使用。 用作热锻和热冲压的机械零件，冷拉和冷顶锻钢材，可承受较大载荷的零件，如曲轴、杠杆、连杆、钩环、轮圈等，以及各种标准、紧固件。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,冲击韧性  易切削性  焊接性,U20352,,,,,,,,
S500J0,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0502,7.85 g/cm3,,,,,
SWRCH16K,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,镇静钢,,,,锻压性,,,,,,,,,
,ASTM A29/A29M-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,磷和硫处理碳素钢,,G12150,1215,,,,,,,,,,
15кп,GOST 1050-1988 表面光洁的优质碳素结构钢棒料规格,碳钢,优质碳素结构钢  沸腾钢,相当于我国的15F钢,,,焊接性  渗碳性,,,,,,,,,
11SMn37,EN 10277-3-1999 光亮钢产品技术交货条件 第3部分 高速切削钢,碳钢,非热处理钢,,,,,,,1.0736,,,,,,
XK1016,AS /NZS 3678-2016 热轧结构钢板、波纹板和厚板,碳钢,,,,,,,,,,,,,,
E4320,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
SS400,JIS G 3101-2011 普通结构用轧制钢材,碳钢,,,,,,,,,,SS41,,,,
E,GB 712-2011 船舶及海洋工程用结构钢,碳钢,,,,,,U51188,,,,,,,,
S460JR,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0507,,7.85 g/cm3,,,,,
SWRH57B,JIS G 3506-2017 高碳钢线材,碳钢,,用于制造高碳钢丝、油回火钢丝、预应力混凝土用高碳钢丝、镀锌钢丝绳、钢缆等的线材。同时，钢琴线材也包括在其中,,,,,,,,,,,,
DX53D+Z,GB /T 2518-2019 连续热镀锌和锌合金镀层钢板及钢带,碳钢,无间隙原子钢,镀层代号：纯锌镀层(Z)，锌铁合金镀层(ZF)，锌铝合金镀层(ZA)，铝锌合金镀层(AZ),,,,,,,,,DX53D+ZF  DX53D+ZA  DX53D+AZ,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,磷和硫处理碳素钢,,G12134,12L13,易切削性,,,,,,,,,
44SMn28,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10390,1039,冲击韧性  易切削性  渗碳性,,,,,,,,,
A489,ASTM A489-2012 碳素钢吊环标准规范,碳钢,,,,,,,,,,,,,,
P265TR2,EN 10216-1-2004 承压用无缝钢管-交货技术条件 第1部分：规定室温特性的非合金钢管,碳钢,,,,,,,,1.0259,,,,,,
